ft_facility_code,fi_admin_code,ft_level2,ft_level3,ft_level4,ft_level5,ft_facility_type,ft_gis_code,ft_facility_name,fi_target_births,fi_target_pw,fi_tot_pop,fi_cba,fi_cc_storage,fi_cc_delivery,fi_cc_outreach,fi_cc_none,fi_mode,fi_electricity,fi_kerosene,fi_bottled_gas,fi_solar,fn_icepack_20_rout,fn_icepack_4_rout,fn_icepack_20_supp,fn_icepack_4_supp,fi_resupp_interval,fi_reserve_stock,fi_site_floods,fi_hi_altitude,fi_site_diff_access,fi_site_robbed,fi_site_none,fi_trans_public,fi_trans_car,fi_trans_motor,fi_trans_foot,fi_trans_bicycle,fi_trans_boat,fi_trans_other,fi_access_repair,fi_cylinders,fn_nonstandard_equipment,fi_shaded,fi_heavy_clouds,fn_latitude,fn_longitude,fn_distance,fn_waste_disp_burn,fn_waste_chimney,fn_waste_incinerator,fn_waste_none,f_date_updated,fn_train_users,fn_train_staff,fn_train_vaccine_man,fn_stock_outs,fn_person_name,fn_person_mobile,fn_person_email
10333,10265,Central,Nyeri South,Mukurweini,10265,22,,ICHAMARA DISPENSARY,170,170,4467,1072,-1,0,0,0,3,3,3,3,0,8,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,00.32828,037.05006,33,-1,0,0,0,,,,,,,,
10441,10139,Central,Muranga South,Makuyu,10139,22,,Kamahuha Disp,547,547,14394,3455,-1,-1,0,0,2,3,3,1,0,8,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0.50726,037.10715,15,-1,0,0,0,,,,,,,,
10268,10130,Central,Muranga South,Kandara,10130,22,,GITHUGURI DISP,308,308,8100,1944,-1,-1,0,0,2,3,3,1,0,8,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,00.54713,037.04710,,-1,0,0,0,,,,,,,,
10357,10300,Central,Thika,Kakuzi,10300,22,,Ithanga Dispensary,112,112,2950,708,-1,-1,0,0,2,3,1,1,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.59670,036.20348,80,0,-1,0,0,,,,,,,,
13139,11057,Nairobi,Nairobi North,Central,11057,26,,Parkroad,1148,1148,30207,7250,-1,0,0,0,2,3,4,1,0,12.6,,,,4,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,01.27344,036.83196,10,0,0,-1,0,,,,,,,,
14169,11632,Nyanza,Suba,Mbita,11632,22,,wakula Dispensary,193,193,5087,1221,-1,-1,-1,0,2,0,3,2,0,6,,0,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,00.45060,033.98847,46,-1,0,0,0,,,,,,,,
14383,12073,Rift Valley,Marakwet,Tirap,12073,22,,CHESIYO DISPENSARY,0,0,1,0,0,0,0,-1,,0,4,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+01.12992,035.59889,,0,0,0,0,,,,,,,,
15773,12176,Rift Valley,Nakuru North,Subukia,12176,28,,Wasammy M C,351,351,9230,2215,-1,-1,0,0,2,3,1,3,0,0,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-0.001321,036.13971,30,0,0,-1,0,,,,,,,,
01001,10114,Central,Muranga North,Kiharu,10114,28,,Huruma Medical Clinic,55,55,1999,486,-1,-1,0,0,2,3,4,4,0,8,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,-1,0,+00.43908,037.08995,3,-1,0,0,0,,,,,,,,
01002,10002,Central,Gatundu,Gatundu,10002,28,,St mary's medical clinic,74,74,1942,466,-1,0,0,0,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.59456,036.57042,,0,0,0,0,,,,,,,,
